"Dim1","Dim2"
0.391448644821394,0.224694681335424
0.395788595660512,0.193525468331299
0.400128546499629,0.162356255327175
0.404467816334146,0.13118694751525
0.408778542836754,0.100013706816266
0.412638825364689,0.0687818344675612
0.415319297942506,0.0374356934994881
0.418633191503208,0.00861355229494423
0.449209626406767,0.0160591309273189
0.479786061310326,0.0235047095596937
0.51037587025182,0.0308905524114586
0.541638567508162,0.0342539260600803
0.573045772791082,0.0355034320469643
0.604513845595958,0.0351942755563295
0.6359597763715,0.0339957852941669
0.667380408380533,0.0322354169419724
0.698807954739712,0.0306129658636151
0.730247102352116,0.0292219194991952
0.761686249964519,0.0278308731347753
0.793140768455082,0.0269114272545192
0.82460377162149,0.0262523033412577
0.856066774787898,0.0255931794279963
0.887535301464965,0.0253408764758213
0.919004726531994,0.0252320231463057
0.950474394255539,0.025346933548843
0.981942120176776,0.0257077915888424
1.01340866567312,0.0261677123525975
1.04487306318907,0.0267560590660685
1.07633711643782,0.0273625237392589
1.10780021774635,0.0280169243901962
1.13926323374289,0.0286754355774356
1.17072942489246,0.0291247648472993
1.20219793247491,0.0294214854492858
1.23366644005736,0.0297182060512723
1.26513494763981,0.0300149266532588
1.29660345522226,0.0303116472552453
1.32807092742501,0.0300265026061161
1.35953817975474,0.0296177931743874
1.39098471206502,0.0284071177912847
1.42243108715557,0.0271903572368728
1.45385247458444,0.0254625570004013
1.48520645208829,0.0227720680806592
1.51655027248742,0.0199590315173888
1.54776165066779,0.0159679001764787
1.57878429296513,0.0106810601492099
1.60980693526246,0.00539422012194114
1.6408295775598,0.000107380094672392
1.67174194560863,-0.0057292981790631
1.70240405225548,-0.0128138044116897
1.73301089705407,-0.0201214346060634
1.76328738312327,-0.0287016185869118
1.79334366978399,-0.0380261838220773
1.82326806815336,-0.0477603196964068
1.85292736471745,-0.0582777564058332
1.88231682781762,-0.0695285870438041
1.91149662200319,-0.0813099285634318
1.94037261720261,-0.0938208244115277
1.9690513524079,-0.106774870997869
1.99742005828149,-0.120395245914427
2.02549750779343,-0.134605452155291
2.05324537353116,-0.149451656653943
2.08082962266281,-0.164597319331722
2.10810552126589,-0.180291062908739
2.1350378049697,-0.196568637277967
2.16167752913815,-0.213320373976385
2.18798811749013,-0.230584169885306
2.21394817908242,-0.248370892726551
2.23956934182749,-0.266642538044399
2.2648567650118,-0.285373324925516
2.28981050027838,-0.304546606649865
2.31444863400431,-0.324123930687854
2.3387745883048,-0.344087630363633
2.36277682770877,-0.364439638856242
2.38642359269127,-0.385204340934425
2.41003189296708,-0.406013069167294
2.43337036240122,-0.42712327661927
2.4563907734018,-0.44858027713038
2.47917292572368,-0.470290277328949
2.50191097873295,-0.49204629333766
2.52440686460952,-0.514052467272143
2.54671372063432,-0.536250575244117
2.56895839609134,-0.558510878545796
2.59103747452834,-0.580935612615364
2.61299621366196,-0.603478117368233
2.63493596849819,-0.62603919381216
2.65677844871114,-0.648694309850956
2.67848422852337,-0.671480555846893
2.70015988398365,-0.694295399959054
2.72171965004483,-0.717219873780061
2.743279416106,-0.740144347601068
2.76472035701984,-0.763179862940455
2.78613008831642,-0.78624451063837
2.80740707964192,-0.809431589088577
2.82865269912222,-0.832647503145125
2.84989831860251,-0.855863417201673
2.8711245704903,-0.879097008977067
2.89228316794358,-0.902392234713324
2.91340057582538,-0.925724823614883
2.93448595023478,-0.94908636848559
2.95555407864167,-0.972463472198695
2.97662220704856,-0.9958405759118
2.99769223540313,-1.01921596684007
3.01878851032202,-1.04256766631633
3.03994885607268,-1.06586125668508
3.06117534280929,-1.08909466524695
3.08241259726759,-1.11231819071977
3.10374563692954,-1.13545380031546
3.12510534110764,-1.15856474264892
3.14664261331809,-1.18150989939774
3.16832407445675,-1.20431912684802
3.19016393564562,-1.22697691746921
3.21200379683449,-1.24963470809039
3.23384365802335,-1.27229249871158
3.25568351921222,-1.29495028933276
3.27774486857521,-1.31739142503792
3.29999786533255,-1.33964353756976
3.32238326086491,-1.36176220639849
3.34484586018177,-1.38380277455162
3.36744592034628,-1.4057021703975
3.39011341751072,-1.42753195704059
3.41287903605625,-1.44925911393763
3.43570441122703,-1.47092376858283
3.4585297863978,-1.49258842322804
3.48141562789581,-1.51418908579419
3.50435007190882,-1.5357382355102
3.52731770313537,-1.55725201334731
3.55030162675448,-1.57874839112119
3.57331049486721,-1.60021806278871
3.59632893566612,-1.62167747527366
3.61933855872242,-1.64314634168732
3.6423466016112,-1.6646169023463
3.66529809560543,-1.68614786775759
3.68823749375924,-1.70769175377947
3.71117689191304,-1.72923563980134
3.73401262011692,-1.75088929685495
3.75678418946999,-1.77261049944093
3.77952383743525,-1.79436503504434
3.80220934645667,-1.81617610317549
3.82489485547809,-1.83798717130663
3.84758036449951,-1.85979823943778
3.87017875238127,-1.88169954740432
3.89274418824795,-1.90363481847009
3.91529883688003,-1.92558117776288
3.93784438645472,-1.94753688688037
3.96037630187625,-1.9695065881868
3.98290351913188,-1.99148110740216
4.00542936800521,-2.01345702934228
4.02795521550567,-2.03543295268963
4.05048352544422,-2.05740635169399
4.07301185318802,-2.07937973244549
